,symbol,instrument_token,date,open,high,low,close,volume
1900,ULTRACEMCO,2952193,2025-10-01,12274.0,12274.0,11982.0,12184.0,719773
1901,ULTRACEMCO,2952193,2025-10-08,12150.0,12324.0,11940.0,12070.0,761115
1902,ULTRACEMCO,2952193,2025-10-15,12085.0,12448.0,12085.0,12342.0,861772
1903,ULTRACEMCO,2952193,2025-10-23,12390.0,12415.0,11866.0,11931.0,1610820
1904,ULTRACEMCO,2952193,2025-10-29,11940.0,12084.0,11899.0,12053.0,554215
1905,TCS,2953217,2025-07-23,3159.6,3182.0,3041.2,3056.0,15586355
1906,TCS,2953217,2025-07-30,3060.0,3079.4,2991.6,3063.9,12349587
1907,TCS,2953217,2025-08-06,3063.0,3096.4,3010.9,3035.4,12034744
1908,TCS,2953217,2025-08-13,3036.1,3055.9,3003.4,3016.2,11086733
1909,TCS,2953217,2025-08-20,3010.9,3162.0,3010.9,3157.2,18747342
1910,TCS,2953217,2025-08-28,3145.0,3155.0,3077.2,3111.5,8819931
1911,TCS,2953217,2025-09-03,3129.9,3141.9,3016.0,3049.4,11198708
1912,TCS,2953217,2025-09-10,3056.4,3150.0,3053.4,3145.7,10096009
1913,TCS,2953217,2025-09-17,3152.0,3203.0,3052.0,3062.4,16765745
1914,TCS,2953217,2025-09-24,3050.0,3057.0,2885.1,2888.4,15898204
1915,TCS,2953217,2025-10-01,2891.0,3004.5,2866.6,2973.7,10028138
1916,TCS,2953217,2025-10-08,2975.0,3070.0,2955.5,2960.3,22628839
1917,TCS,2953217,2025-10-15,2971.0,3031.8,2943.1,3006.7,15352087
1918,TCS,2953217,2025-10-23,3055.0,3098.0,3036.1,3057.9,13666125
1919,TCS,2953217,2025-10-29,3057.9,3076.0,3032.8,3035.3,5136956
1920,COFORGE,2955009,2025-07-23,1867.7,1869.1,1653.5,1720.5,23439050
1921,COFORGE,2955009,2025-07-30,1725.0,1756.3,1690.0,1706.7,9231421
1922,COFORGE,2955009,2025-08-06,1706.7,1710.4,1584.3,1625.4,11490971
1923,COFORGE,2955009,2025-08-13,1635.0,1666.6,1607.2,1652.7,4016427
1924,COFORGE,2955009,2025-08-20,1642.4,1797.5,1632.7,1739.3,10584839
1925,COFORGE,2955009,2025-08-28,1730.0,1782.3,1711.0,1754.6,4151083
1926,COFORGE,2955009,2025-09-03,1745.0,1759.2,1640.0,1696.6,6648865
1927,COFORGE,2955009,2025-09-10,1712.0,1790.9,1710.0,1779.6,6356730
1928,COFORGE,2955009,2025-09-17,1787.0,1830.0,1662.2,1667.9,9788763
1929,COFORGE,2955009,2025-09-24,1673.3,1673.3,1525.0,1591.0,14814948
1930,COFORGE,2955009,2025-10-01,1591.0,1692.0,1554.3,1686.5,6409663
1931,COFORGE,2955009,2025-10-08,1682.5,1747.4,1673.3,1700.5,6969427
1932,COFORGE,2955009,2025-10-15,1710.0,1775.0,1710.0,1741.5,5032988
1933,COFORGE,2955009,2025-10-23,1776.0,1866.6,1746.1,1809.8,12754430
1934,COFORGE,2955009,2025-10-29,1810.0,1822.0,1782.2,1807.7,2991120
1935,PPLPHARMA,2962177,2025-07-23,203.8,210.5,193.25,205.61,30752551
1936,PPLPHARMA,2962177,2025-07-30,204.58,206.0,189.43,193.53,18911204
1937,PPLPHARMA,2962177,2025-08-06,193.5,196.52,185.12,189.41,20052165
1938,PPLPHARMA,2962177,2025-08-13,191.0,195.64,189.55,194.21,8945325
1939,PPLPHARMA,2962177,2025-08-20,194.59,197.2,188.5,189.36,13332801
1940,PPLPHARMA,2962177,2025-08-28,189.6,190.33,182.0,186.71,7896838
1941,PPLPHARMA,2962177,2025-09-03,186.99,203.5,186.99,198.17,37730802
1942,PPLPHARMA,2962177,2025-09-10,200.02,205.94,198.7,205.63,15727178
1943,PPLPHARMA,2962177,2025-09-17,206.39,209.44,199.51,200.03,18631952
1944,PPLPHARMA,2962177,2025-09-24,200.45,201.0,187.0,191.16,19057429
1945,PPLPHARMA,2962177,2025-10-01,191.07,201.59,190.52,195.56,11068682
1946,PPLPHARMA,2962177,2025-10-08,194.61,206.6,190.72,192.26,19993954
1947,PPLPHARMA,2962177,2025-10-15,192.26,198.4,191.13,197.28,11553574
1948,PPLPHARMA,2962177,2025-10-23,198.99,206.5,197.0,202.1,13338518
1949,PPLPHARMA,2962177,2025-10-29,203.15,205.9,200.1,201.9,4814482
1950,NTPC,2977281,2025-07-23,341.8,344.0,328.5,334.6,34104793
1951,NTPC,2977281,2025-07-30,335.0,342.3,327.2,333.6,46629218
1952,NTPC,2977281,2025-08-06,333.6,341.85,328.65,340.1,53065895
1953,NTPC,2977281,2025-08-13,340.3,343.0,334.15,335.05,27934029
1954,NTPC,2977281,2025-08-20,337.8,344.35,331.75,333.2,50750284
1955,NTPC,2977281,2025-08-28,331.25,338.25,327.0,336.3,38422570
1956,NTPC,2977281,2025-09-03,336.5,338.0,323.65,324.1,39365493
1957,NTPC,2977281,2025-09-10,325.5,335.8,325.15,335.05,37428163
1958,NTPC,2977281,2025-09-17,335.5,344.1,334.1,343.0,42784652
1959,NTPC,2977281,2025-09-24,343.3,350.8,336.45,340.45,59449618
1960,NTPC,2977281,2025-10-01,340.3,343.5,335.65,338.0,39095322
1961,NTPC,2977281,2025-10-08,339.25,343.0,331.2,336.65,43228160
1962,NTPC,2977281,2025-10-15,336.95,344.45,336.75,342.0,29186112
1963,NTPC,2977281,2025-10-23,343.8,345.2,337.3,339.15,36234544
1964,NTPC,2977281,2025-10-29,339.25,350.0,339.15,345.15,22144233
1965,ALKEM,2995969,2025-07-23,4971.8,5097.5,4955.0,5070.7,414918
1966,ALKEM,2995969,2025-07-30,5071.0,5112.0,4825.5,4921.0,487329
1967,ALKEM,2995969,2025-08-06,4929.0,5207.5,4738.5,5149.0,1258063
1968,ALKEM,2995969,2025-08-13,5240.0,5423.5,5240.0,5392.0,1487864
1969,ALKEM,2995969,2025-08-20,5400.0,5479.0,5362.5,5422.0,708255
1970,ALKEM,2995969,2025-08-28,5420.0,5434.0,5204.5,5246.5,402084
1971,ALKEM,2995969,2025-09-03,5252.0,5382.5,5252.0,5336.0,573890
